Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,City,AQI,Month
2020-01-01,Bengaluru - Silk Board,,,,,,,,bengaluru,,2020-01-01
2020-01-02,Bengaluru - Silk Board,43.67,134.0,20.28,10.98,3.41,0.91,21.82,bengaluru,73.32766666666667,2020-01-01
2020-01-03,Bengaluru - Silk Board,30.58,74.42,15.17,12.1,3.27,0.96,23.31,bengaluru,51.94733333333333,2020-01-01
2020-01-04,Bengaluru - Silk Board,66.35,155.68,42.9,11.75,3.26,2.54,29.7,bengaluru,121.95499999999998,2020-01-01
2020-01-05,Bengaluru - Silk Board,48.0,99.13,18.56,9.79,2.95,1.14,31.01,bengaluru,80.4,2020-01-01
2020-01-06,Bengaluru - Silk Board,23.75,63.34,17.21,7.4,2.82,1.08,25.82,bengaluru,39.583333333333336,2020-01-01
2020-01-07,Bengaluru - Silk Board,24.67,72.0,17.2,7.66,2.97,0.98,30.37,bengaluru,41.116666666666674,2020-01-01
2020-01-08,Bengaluru - Silk Board,34.18,79.06,18.16,9.35,2.99,0.99,29.61,bengaluru,57.827333333333335,2020-01-01
2020-01-09,Bengaluru - Silk Board,41.61,98.0,21.49,11.21,2.98,1.11,30.97,bengaluru,69.963,2020-01-01
2020-01-10,Bengaluru - Silk Board,38.95,97.7,19.77,12.8,3.34,0.97,31.89,bengaluru,65.61833333333334,2020-01-01
2020-01-11,Bengaluru - Silk Board,34.05,77.56,21.34,12.08,3.07,1.01,34.36,bengaluru,57.614999999999995,2020-01-01
2020-01-12,Bengaluru - Silk Board,39.12,75.93,17.88,16.07,2.96,0.96,44.84,bengaluru,65.896,2020-01-01
2020-01-13,Bengaluru - Silk Board,,,,,,,,bengaluru,,2020-01-01
2020-01-14,Bengaluru - Silk Board,,,,,,,,bengaluru,,2020-01-01
2020-01-15,Bengaluru - Silk Board,,,,,,,,bengaluru,,2020-01-01
2020-01-16,Bengaluru - Silk Board,38.0,93.0,45.15,11.95,3.95,0.68,16.18,bengaluru,64.06666666666666,2020-01-01
2020-01-17,Bengaluru - Silk Board,42.96,112.6,30.73,14.73,3.2,1.38,26.75,bengaluru,72.168,2020-01-01
2020-01-18,Bengaluru - Silk Board,26.8,59.0,16.92,11.34,3.18,1.02,31.02,bengaluru,44.66666666666667,2020-01-01
2020-01-19,Bengaluru - Silk Board,22.19,56.56,12.35,8.4,3.19,0.97,39.56,bengaluru,36.983333333333334,2020-01-01
2020-01-20,Bengaluru - Silk Board,34.24,100.22,26.62,9.03,3.23,1.1,31.6,bengaluru,57.925333333333334,2020-01-01
2020-01-21,Bengaluru - Silk Board,37.5,102.51,33.74,9.73,3.25,1.16,29.45,bengaluru,63.25,2020-01-01
2020-01-22,Bengaluru - Silk Board,34.48,86.75,26.2,9.86,3.22,1.11,34.25,bengaluru,58.31733333333333,2020-01-01
2020-01-23,Bengaluru - Silk Board,46.65,98.18,20.54,9.95,3.19,1.09,33.52,bengaluru,78.195,2020-01-01
2020-01-24,Bengaluru - Silk Board,38.05,96.7,40.46,8.42,2.87,1.16,40.62,bengaluru,64.14833333333333,2020-01-01
2020-01-25,Bengaluru - Silk Board,48.78,112.69,41.56,9.77,2.86,1.26,29.72,bengaluru,81.674,2020-01-01
2020-01-26,Bengaluru - Silk Board,51.86,111.57,41.8,12.05,2.81,1.29,25.68,bengaluru,86.70466666666667,2020-01-01
2020-01-27,Bengaluru - Silk Board,74.23,169.38,48.11,15.29,2.88,1.97,25.19,bengaluru,147.959,2020-01-01
2020-01-28,Bengaluru - Silk Board,61.95,162.59,53.65,12.5,2.89,1.62,24.9,bengaluru,107.435,2020-01-01
2020-01-29,Bengaluru - Silk Board,59.67,140.87,40.89,12.73,2.78,1.39,25.4,bengaluru,99.461,2020-01-01
2020-01-30,Bengaluru - Silk Board,72.46,191.19,63.83,13.42,2.83,1.93,24.72,bengaluru,142.11799999999997,2020-01-01
2020-01-31,Bengaluru - Silk Board,53.61,133.86,33.53,12.63,2.91,1.31,36.37,bengaluru,89.56299999999999,2020-01-01
2020-02-01,Bengaluru - Silk Board,57.62,112.99,16.11,12.28,3.17,0.99,40.39,bengaluru,96.11266666666666,2020-02-01
2020-02-02,Bengaluru - Silk Board,41.16,82.0,11.26,9.53,2.82,0.9,30.25,bengaluru,69.228,2020-02-01
2020-02-03,Bengaluru - Silk Board,36.32,89.84,26.36,8.44,2.73,1.06,36.14,bengaluru,61.32266666666666,2020-02-01
2020-02-04,Bengaluru - Silk Board,34.42,90.27,20.24,8.8,2.58,1.06,37.66,bengaluru,58.21933333333334,2020-02-01
2020-02-05,Bengaluru - Silk Board,34.2,82.97,19.62,8.91,2.66,1.04,34.19,bengaluru,57.86000000000001,2020-02-01
2020-02-06,Bengaluru - Silk Board,45.36,101.46,30.66,9.39,2.62,1.28,32.46,bengaluru,76.088,2020-02-01
2020-02-07,Bengaluru - Silk Board,60.29,132.17,35.42,10.61,2.87,1.29,36.41,bengaluru,101.957,2020-02-01
2020-02-08,Bengaluru - Silk Board,56.24,133.18,33.64,10.11,2.66,1.38,34.83,bengaluru,93.85866666666666,2020-02-01
2020-02-09,Bengaluru - Silk Board,42.09,85.5,15.75,9.15,2.91,0.96,43.23,bengaluru,70.747,2020-02-01
2020-02-10,Bengaluru - Silk Board,36.13,84.37,17.08,8.11,2.66,1.02,35.28,bengaluru,61.01233333333334,2020-02-01
2020-02-11,Bengaluru - Silk Board,38.0,95.19,26.81,7.61,2.66,1.09,36.65,bengaluru,64.06666666666666,2020-02-01
2020-02-12,Bengaluru - Silk Board,37.86,85.53,21.52,7.51,2.67,1.02,31.28,bengaluru,63.838,2020-02-01
2020-02-13,Bengaluru - Silk Board,39.13,100.44,39.89,7.81,2.75,1.28,38.64,bengaluru,65.91233333333334,2020-02-01
2020-02-14,Bengaluru - Silk Board,52.4,125.07,49.16,10.45,2.7,1.87,40.61,bengaluru,87.58666666666667,2020-02-01
2020-02-15,Bengaluru - Silk Board,56.35,130.38,55.33,10.87,2.78,1.62,33.98,bengaluru,94.03833333333333,2020-02-01
2020-02-16,Bengaluru - Silk Board,41.71,91.29,38.35,9.35,2.83,1.12,34.55,bengaluru,70.12633333333333,2020-02-01
2020-02-17,Bengaluru - Silk Board,44.28,101.74,41.7,10.65,2.76,1.43,47.27,bengaluru,74.324,2020-02-01
2020-02-18,Bengaluru - Silk Board,43.68,95.16,34.38,10.76,2.73,1.15,51.71,bengaluru,73.344,2020-02-01
2020-02-19,Bengaluru - Silk Board,45.45,99.09,32.09,10.61,2.61,1.03,34.7,bengaluru,76.235,2020-02-01
2020-02-20,Bengaluru - Silk Board,48.49,101.79,29.29,11.29,2.75,1.02,30.09,bengaluru,81.20033333333333,2020-02-01
2020-02-21,Bengaluru - Silk Board,30.5,67.75,19.38,10.48,2.54,0.94,38.24,bengaluru,51.81666666666667,2020-02-01
2020-02-22,Bengaluru - Silk Board,33.7,79.15,17.87,11.04,2.55,0.96,41.95,bengaluru,57.04333333333334,2020-02-01
2020-02-23,Bengaluru - Silk Board,37.16,86.35,12.62,10.23,2.6,1.0,33.31,bengaluru,62.69466666666666,2020-02-01
2020-02-24,Bengaluru - Silk Board,38.52,94.0,15.02,9.0,2.55,1.08,32.83,bengaluru,64.91600000000001,2020-02-01
2020-02-25,Bengaluru - Silk Board,42.18,108.38,28.13,9.96,2.62,1.1,38.66,bengaluru,70.894,2020-02-01
2020-02-26,Bengaluru - Silk Board,35.6,94.6,18.75,9.46,2.56,1.09,35.5,bengaluru,60.14666666666667,2020-02-01
2020-02-27,Bengaluru - Silk Board,38.76,102.95,30.46,9.43,2.58,1.24,34.7,bengaluru,65.30799999999999,2020-02-01
2020-02-28,Bengaluru - Silk Board,39.33,94.53,25.47,9.72,2.56,1.2,30.82,bengaluru,66.239,2020-02-01
2020-02-29,Bengaluru - Silk Board,37.66,96.49,23.04,9.38,2.58,1.16,39.89,bengaluru,63.511333333333326,2020-02-01
2020-03-01,Bengaluru - Silk Board,43.51,96.91,15.49,9.34,2.69,1.08,49.64,bengaluru,73.06633333333333,2020-03-01
2020-03-02,Bengaluru - Silk Board,63.49,137.43,33.66,10.04,2.67,1.48,32.05,bengaluru,112.51700000000001,2020-03-01
2020-03-03,Bengaluru - Silk Board,76.92,178.58,42.02,11.46,2.69,1.88,30.56,bengaluru,156.836,2020-03-01
2020-03-04,Bengaluru - Silk Board,64.23,150.84,53.35,11.33,2.74,1.97,39.68,bengaluru,114.95900000000002,2020-03-01
2020-03-05,Bengaluru - Silk Board,52.51,130.1,34.06,11.65,2.77,1.42,32.75,bengaluru,87.76633333333334,2020-03-01
2020-03-06,Bengaluru - Silk Board,26.76,98.67,34.37,10.08,2.54,1.35,55.93,bengaluru,44.6,2020-03-01
2020-03-07,Bengaluru - Silk Board,37.77,105.82,24.58,13.25,2.65,1.26,31.2,bengaluru,63.691,2020-03-01
2020-03-08,Bengaluru - Silk Board,26.61,79.84,13.73,13.01,2.58,1.1,32.0,bengaluru,44.35,2020-03-01
