Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,17.7,2.9,0.0,12.0,100,delhi
2020-01-02,19.5,6.8,0.0,12.4,91,delhi
2020-01-03,19.0,8.2,0.1,9.8,97,delhi
2020-01-04,18.9,8.8,0.5,9.7,97,delhi
2020-01-05,19.8,7.8,0.0,12.9,92,delhi
2020-01-06,17.0,10.2,0.0,11.6,91,delhi
2020-01-07,17.8,11.1,2.1,13.0,96,delhi
2020-01-08,15.3,10.3,17.5,14.5,97,delhi
2020-01-09,15.9,7.1,0.0,16.1,94,delhi
2020-01-10,16.6,5.8,0.0,16.1,94,delhi
2020-01-11,16.9,5.4,0.0,11.3,92,delhi
2020-01-12,19.7,5.9,0.0,10.9,95,delhi
2020-01-13,20.6,9.2,16.6,19.3,96,delhi
2020-01-14,18.2,10.4,0.3,11.7,97,delhi
2020-01-15,18.6,7.3,0.0,12.2,97,delhi
2020-01-16,15.8,9.4,11.1,10.0,97,delhi
2020-01-17,17.9,10.2,0.6,11.0,98,delhi
2020-01-18,17.2,8.9,0.2,10.9,100,delhi
2020-01-19,17.5,7.8,0.0,12.7,98,delhi
2020-01-20,17.5,7.2,0.0,12.5,95,delhi
2020-01-21,18.2,9.3,0.0,9.5,100,delhi
2020-01-22,18.8,7.4,0.0,15.1,99,delhi
2020-01-23,17.8,8.4,0.0,23.2,86,delhi
2020-01-24,19.2,8.4,0.0,22.6,73,delhi
2020-01-25,18.2,5.2,0.0,9.8,92,delhi
2020-01-26,20.2,7.1,0.0,10.5,99,delhi
2020-01-27,20.0,8.6,0.4,16.7,96,delhi
2020-01-28,19.3,10.9,16.0,20.7,97,delhi
2020-01-29,18.5,10.2,0.5,10.2,99,delhi
2020-01-30,18.1,8.4,0.0,17.8,97,delhi
2020-01-31,17.5,7.4,0.0,12.7,93,delhi
2020-02-01,18.3,7.6,0.0,12.5,95,delhi
2020-02-02,18.0,6.8,0.0,14.4,94,delhi
2020-02-03,18.8,6.5,0.0,11.8,95,delhi
2020-02-04,19.6,7.2,0.0,10.4,92,delhi
2020-02-05,19.0,8.2,0.0,16.0,92,delhi
2020-02-06,17.5,6.8,0.0,11.2,94,delhi
2020-02-07,18.3,8.1,0.1,12.0,88,delhi
2020-02-08,19.1,7.0,0.0,10.7,93,delhi
2020-02-09,19.8,6.9,0.0,10.2,95,delhi
2020-02-10,20.0,7.4,0.0,11.1,93,delhi
2020-02-11,20.6,7.2,0.0,11.2,94,delhi
2020-02-12,23.8,9.1,0.0,19.5,93,delhi
2020-02-13,26.5,13.0,0.0,20.6,78,delhi
2020-02-14,24.0,13.8,0.0,29.0,77,delhi
2020-02-15,24.7,12.2,0.0,21.3,62,delhi
2020-02-16,25.0,10.9,0.0,12.2,81,delhi
2020-02-17,25.5,9.1,0.0,17.7,93,delhi
2020-02-18,25.4,10.3,0.0,20.2,69,delhi
2020-02-19,25.1,9.9,0.0,21.5,82,delhi
2020-02-20,26.3,15.0,2.1,25.4,82,delhi
2020-02-21,18.9,13.6,13.4,25.2,94,delhi
2020-02-22,21.5,13.9,0.7,11.9,93,delhi
2020-02-23,23.2,13.2,2.6,17.8,96,delhi
2020-02-24,23.5,12.3,0.1,11.8,98,delhi
2020-02-25,24.4,13.1,0.0,16.3,96,delhi
2020-02-26,25.0,12.7,0.0,11.2,98,delhi
2020-02-27,25.4,13.4,0.0,12.1,96,delhi
2020-02-28,25.5,15.9,0.0,19.3,91,delhi
2020-02-29,21.9,16.1,9.1,22.3,95,delhi
2020-03-01,24.9,15.1,0.0,14.8,97,delhi
2020-03-02,25.4,14.8,0.2,9.4,98,delhi
2020-03-03,26.0,13.6,0.0,10.5,95,delhi
2020-03-04,24.9,13.9,1.0,17.2,92,delhi
2020-03-05,24.5,14.4,13.0,27.8,100,delhi
2020-03-06,21.3,13.7,23.3,30.4,95,delhi
2020-03-07,20.4,12.8,1.7,18.9,97,delhi
2020-03-08,22.7,11.6,0.0,16.4,100,delhi
2020-03-09,23.5,11.8,0.0,20.3,91,delhi
2020-03-10,23.6,10.1,0.0,11.0,90,delhi
2020-03-11,23.9,14.9,2.6,20.9,89,delhi
2020-03-12,25.6,14.2,0.0,21.1,96,delhi
2020-03-13,24.6,13.7,10.0,23.2,93,delhi
2020-03-14,20.6,13.4,4.2,20.4,96,delhi
2020-03-15,21.2,11.2,0.1,10.7,100,delhi
2020-03-16,23.9,12.8,0.0,12.0,90,delhi
2020-03-17,25.6,13.5,0.0,14.1,90,delhi
2020-03-18,27.1,14.2,0.0,14.8,88,delhi
2020-03-19,27.4,15.2,0.2,12.5,89,delhi
2020-03-20,29.0,15.9,0.4,16.7,84,delhi
2020-03-21,28.4,15.2,1.6,9.2,97,delhi
2020-03-22,28.6,15.5,0.0,13.8,95,delhi
2020-03-23,29.1,16.1,0.0,9.4,87,delhi
2020-03-24,30.1,18.1,0.7,10.8,82,delhi
2020-03-25,30.3,17.8,0.0,21.8,93,delhi
2020-03-26,29.6,18.8,0.0,19.6,76,delhi
2020-03-27,25.2,19.2,6.0,16.2,86,delhi
2020-03-28,27.2,16.1,0.1,17.3,95,delhi
2020-03-29,28.2,16.4,0.0,22.5,87,delhi
2020-03-30,28.8,15.8,0.0,19.2,82,delhi
2020-03-31,30.1,16.1,0.1,20.1,81,delhi
2020-04-01,31.1,17.5,0.0,13.0,82,delhi
2020-04-02,29.5,17.8,0.0,20.9,81,delhi
2020-04-03,29.4,16.1,0.0,19.1,68,delhi
2020-04-04,31.0,15.5,0.0,17.2,75,delhi
2020-04-05,31.6,17.0,0.0,15.5,73,delhi
2020-04-06,33.4,18.4,0.0,18.0,78,delhi
2020-04-07,32.8,18.4,0.4,19.6,68,delhi
2020-04-08,31.5,18.7,0.0,16.7,67,delhi
2020-04-09,31.5,17.5,0.0,15.8,68,delhi
2020-04-10,34.0,18.0,0.0,17.2,75,delhi
2020-04-11,35.1,19.1,0.0,13.8,61,delhi
2020-04-12,34.9,20.8,0.0,15.0,62,delhi
2020-04-13,37.0,20.8,0.0,20.6,68,delhi
2020-04-14,37.9,22.8,0.0,22.0,66,delhi
2020-04-15,37.5,25.0,0.0,20.6,52,delhi
2020-04-16,37.8,23.1,0.0,16.9,68,delhi
2020-04-17,34.7,25.2,0.0,20.4,46,delhi
