Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,26.9,18.1,1.9,18.5,97,bengaluru
2020-01-02,27.2,18.8,1.0,15.1,98,bengaluru
2020-01-03,28.2,18.6,0.0,14.0,99,bengaluru
2020-01-04,28.3,19.2,0.0,13.2,98,bengaluru
2020-01-05,28.0,19.5,0.2,16.6,99,bengaluru
2020-01-06,27.4,18.9,0.0,19.0,98,bengaluru
2020-01-07,27.0,18.3,0.0,19.7,98,bengaluru
2020-01-08,28.1,17.5,0.0,16.4,99,bengaluru
2020-01-09,29.1,17.4,0.0,17.9,97,bengaluru
2020-01-10,28.1,16.6,0.0,18.4,97,bengaluru
2020-01-11,27.7,15.4,0.0,18.0,98,bengaluru
2020-01-12,27.2,15.1,0.0,18.4,98,bengaluru
2020-01-13,28.4,17.1,0.0,14.8,98,bengaluru
2020-01-14,29.1,16.6,0.0,17.3,98,bengaluru
2020-01-15,27.8,14.6,0.0,18.4,96,bengaluru
2020-01-16,27.4,15.0,0.0,17.8,98,bengaluru
2020-01-17,28.5,15.6,0.0,17.3,98,bengaluru
2020-01-18,27.9,18.0,0.1,18.2,98,bengaluru
2020-01-19,28.1,18.5,0.2,17.8,94,bengaluru
2020-01-20,29.8,17.6,0.0,21.3,97,bengaluru
2020-01-21,29.2,16.5,0.0,21.3,92,bengaluru
2020-01-22,29.0,15.8,0.0,20.2,95,bengaluru
2020-01-23,29.0,16.9,0.0,19.6,97,bengaluru
2020-01-24,30.0,16.3,0.0,16.3,98,bengaluru
2020-01-25,30.0,15.2,0.0,17.0,94,bengaluru
2020-01-26,31.0,14.4,0.0,14.8,98,bengaluru
2020-01-27,30.8,15.7,0.0,15.0,93,bengaluru
2020-01-28,29.9,17.6,0.0,12.0,86,bengaluru
2020-01-29,30.9,17.4,0.0,13.7,94,bengaluru
2020-01-30,31.1,17.2,0.0,12.7,95,bengaluru
2020-01-31,30.7,18.2,0.0,20.5,86,bengaluru
2020-02-01,28.8,17.6,0.0,16.8,92,bengaluru
2020-02-02,28.2,18.4,0.0,17.4,93,bengaluru
2020-02-03,29.4,16.6,0.0,16.6,93,bengaluru
2020-02-04,28.7,15.4,0.0,18.8,98,bengaluru
2020-02-05,29.0,18.2,0.0,15.8,97,bengaluru
2020-02-06,29.7,16.5,0.0,16.1,95,bengaluru
2020-02-07,29.2,17.0,0.0,17.6,94,bengaluru
2020-02-08,29.5,18.0,0.0,14.0,95,bengaluru
2020-02-09,28.0,17.9,0.7,21.2,93,bengaluru
2020-02-10,28.9,18.1,0.0,23.8,93,bengaluru
2020-02-11,28.5,16.2,0.0,21.3,92,bengaluru
2020-02-12,28.9,17.3,0.0,19.8,97,bengaluru
2020-02-13,30.5,17.6,0.0,21.1,98,bengaluru
2020-02-14,30.5,16.6,0.0,12.0,97,bengaluru
2020-02-15,31.5,16.6,0.0,16.6,81,bengaluru
2020-02-16,31.3,17.4,0.0,17.7,64,bengaluru
2020-02-17,31.0,15.6,0.0,17.3,93,bengaluru
2020-02-18,30.6,15.9,0.0,18.0,74,bengaluru
2020-02-19,30.8,16.0,0.0,19.2,87,bengaluru
2020-02-20,30.9,15.9,0.0,19.6,97,bengaluru
2020-02-21,31.1,15.5,0.0,19.8,97,bengaluru
2020-02-22,30.4,17.4,0.0,21.2,96,bengaluru
2020-02-23,30.3,17.6,0.0,21.6,96,bengaluru
2020-02-24,30.4,17.9,0.0,19.5,96,bengaluru
2020-02-25,31.9,17.6,0.0,14.4,99,bengaluru
2020-02-26,30.6,18.4,0.0,16.1,96,bengaluru
2020-02-27,30.8,19.1,0.0,22.7,92,bengaluru
2020-02-28,31.0,18.4,0.0,22.9,94,bengaluru
2020-02-29,31.4,18.5,0.0,20.6,91,bengaluru
2020-03-01,30.5,18.9,0.0,19.6,93,bengaluru
2020-03-02,29.6,19.1,0.0,16.3,91,bengaluru
2020-03-03,30.7,19.6,0.5,9.9,84,bengaluru
2020-03-04,30.6,20.1,1.1,14.5,93,bengaluru
2020-03-05,30.0,20.5,1.8,16.7,82,bengaluru
2020-03-06,29.8,20.0,2.7,16.5,95,bengaluru
2020-03-07,29.4,20.1,2.2,14.0,95,bengaluru
2020-03-08,30.5,20.2,1.0,17.2,97,bengaluru
2020-03-09,30.1,19.6,0.9,15.7,97,bengaluru
2020-03-10,30.6,19.5,0.5,17.8,85,bengaluru
2020-03-11,32.5,19.8,0.0,18.4,91,bengaluru
2020-03-12,32.6,20.0,0.0,17.4,82,bengaluru
2020-03-13,32.3,18.5,0.0,18.7,94,bengaluru
2020-03-14,32.5,18.0,0.0,17.6,97,bengaluru
2020-03-15,33.3,18.5,0.0,19.6,98,bengaluru
2020-03-16,32.7,19.0,0.0,19.0,95,bengaluru
2020-03-17,32.5,18.9,0.0,20.5,97,bengaluru
2020-03-18,33.8,18.5,0.0,18.7,84,bengaluru
2020-03-19,34.2,19.3,0.0,15.1,80,bengaluru
2020-03-20,32.5,21.9,0.4,17.3,74,bengaluru
2020-03-21,34.4,20.2,0.1,15.9,85,bengaluru
2020-03-22,32.0,20.7,0.1,15.0,86,bengaluru
2020-03-23,31.0,21.2,0.7,19.0,89,bengaluru
2020-03-24,33.7,20.5,0.0,16.4,94,bengaluru
2020-03-25,32.7,19.5,0.0,19.6,94,bengaluru
2020-03-26,33.7,19.3,0.0,19.9,94,bengaluru
2020-03-27,33.2,18.8,0.0,17.0,98,bengaluru
2020-03-28,34.0,17.5,0.0,17.7,86,bengaluru
2020-03-29,34.2,17.8,0.0,17.0,74,bengaluru
2020-03-30,34.6,19.8,0.0,18.6,73,bengaluru
2020-03-31,34.5,18.5,0.0,18.1,79,bengaluru
2020-04-01,34.9,20.1,0.0,19.1,72,bengaluru
2020-04-02,35.1,21.0,0.0,17.7,63,bengaluru
2020-04-03,34.5,21.8,0.0,18.9,70,bengaluru
2020-04-04,35.2,20.1,0.0,17.1,79,bengaluru
2020-04-05,34.8,20.8,0.1,16.5,91,bengaluru
2020-04-06,33.8,21.6,0.3,13.7,90,bengaluru
2020-04-07,32.0,22.0,6.1,11.3,83,bengaluru
2020-04-08,32.0,22.1,0.6,15.2,85,bengaluru
2020-04-09,31.0,21.4,3.1,19.5,90,bengaluru
2020-04-10,32.0,20.7,0.0,16.0,97,bengaluru
2020-04-11,33.2,20.5,0.0,15.0,98,bengaluru
2020-04-12,33.5,19.7,0.0,16.5,92,bengaluru
2020-04-13,34.6,19.1,0.0,16.9,73,bengaluru
2020-04-14,34.7,19.5,0.0,19.8,65,bengaluru
2020-04-15,35.0,18.6,0.0,16.1,86,bengaluru
2020-04-16,34.8,20.6,0.0,16.9,84,bengaluru
2020-04-17,35.1,21.6,0.0,16.2,76,bengaluru
2020-04-18,34.8,21.7,0.0,15.6,93,bengaluru
2020-04-19,34.8,21.6,0.0,17.3,92,bengaluru
2020-04-20,33.9,21.1,0.0,17.8,90,bengaluru
2020-04-21,34.8,20.1,0.0,14.2,85,bengaluru
