Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,26.9,23.8,6.6,13.7,93,chennai
2020-01-02,27.3,23.7,2.3,11.6,94,chennai
2020-01-03,28.7,23.5,1.6,11.8,96,chennai
2020-01-04,28.8,23.6,0.4,12.8,97,chennai
2020-01-05,27.6,24.6,5.3,11.6,93,chennai
2020-01-06,26.9,23.9,4.0,17.9,93,chennai
2020-01-07,27.9,24.3,2.2,22.0,90,chennai
2020-01-08,27.8,23.8,0.1,14.7,84,chennai
2020-01-09,27.5,21.5,0.0,10.5,85,chennai
2020-01-10,27.9,22.5,0.0,14.6,86,chennai
2020-01-11,27.6,21.8,0.0,16.1,85,chennai
2020-01-12,26.8,22.5,2.0,18.1,91,chennai
2020-01-13,27.5,21.4,0.1,13.4,96,chennai
2020-01-14,27.2,19.5,0.0,12.7,93,chennai
2020-01-15,27.9,22.2,0.0,14.8,75,chennai
2020-01-16,28.0,22.5,0.0,15.6,84,chennai
2020-01-17,27.5,22.9,2.2,15.8,90,chennai
2020-01-18,27.8,24.3,10.7,16.2,94,chennai
2020-01-19,28.5,24.6,0.0,13.0,81,chennai
2020-01-20,28.5,22.8,0.0,13.5,89,chennai
2020-01-21,28.4,22.8,0.0,16.3,88,chennai
2020-01-22,28.3,23.4,0.0,19.7,81,chennai
2020-01-23,28.2,23.4,0.1,16.8,84,chennai
2020-01-24,28.1,20.9,0.0,12.8,93,chennai
2020-01-25,28.0,19.5,0.0,12.9,97,chennai
2020-01-26,28.1,20.0,0.0,11.6,98,chennai
2020-01-27,28.4,20.6,0.0,17.6,97,chennai
2020-01-28,29.0,21.8,0.0,18.7,95,chennai
2020-01-29,29.0,23.0,0.0,17.9,95,chennai
2020-01-30,29.2,22.0,0.0,17.1,96,chennai
2020-01-31,29.0,22.8,0.0,14.8,96,chennai
2020-02-01,29.3,23.8,0.0,15.6,89,chennai
2020-02-02,29.0,24.3,0.0,16.9,85,chennai
2020-02-03,28.6,23.2,0.0,14.7,89,chennai
2020-02-04,28.7,22.9,1.0,13.7,91,chennai
2020-02-05,29.0,22.8,0.0,12.0,87,chennai
2020-02-06,29.0,22.3,0.0,16.1,94,chennai
2020-02-07,29.0,24.0,0.0,22.2,84,chennai
2020-02-08,29.1,23.6,0.0,20.5,87,chennai
2020-02-09,28.3,25.6,0.8,17.1,73,chennai
2020-02-10,29.1,25.0,0.0,16.9,75,chennai
2020-02-11,29.0,24.4,0.2,19.1,84,chennai
2020-02-12,29.1,24.6,0.5,18.7,81,chennai
2020-02-13,29.7,23.8,0.0,17.3,89,chennai
2020-02-14,30.5,21.4,0.0,15.5,97,chennai
2020-02-15,29.8,20.5,0.0,11.9,96,chennai
2020-02-16,28.6,21.2,0.0,12.4,89,chennai
