Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,19.1,6.1,0.0,13.1,95,gwalior
2020-01-02,19.0,7.9,1.6,11.8,97,gwalior
2020-01-03,20.1,10.4,0.2,13.6,100,gwalior
2020-01-04,18.9,9.8,0.2,9.0,100,gwalior
2020-01-05,21.2,8.9,0.0,10.5,96,gwalior
2020-01-06,22.0,9.6,0.0,9.4,94,gwalior
2020-01-07,22.9,12.1,0.0,14.3,92,gwalior
2020-01-08,21.6,13.1,3.6,11.8,95,gwalior
2020-01-09,16.9,7.9,0.0,16.8,96,gwalior
2020-01-10,16.5,5.8,0.0,10.5,94,gwalior
2020-01-11,18.8,5.9,0.0,9.7,91,gwalior
2020-01-12,22.5,7.0,0.0,8.0,89,gwalior
2020-01-13,25.2,9.8,0.3,12.3,86,gwalior
2020-01-14,20.6,12.3,0.1,9.9,100,gwalior
2020-01-15,20.4,12.4,4.3,10.9,98,gwalior
2020-01-16,17.7,12.8,16.1,13.1,99,gwalior
2020-01-17,19.1,12.1,0.2,11.8,97,gwalior
2020-01-18,19.1,9.4,0.1,7.7,100,gwalior
2020-01-19,19.0,8.8,0.0,11.8,98,gwalior
2020-01-20,18.8,7.6,0.0,8.2,96,gwalior
2020-01-21,20.4,9.5,0.0,9.2,93,gwalior
2020-01-22,19.8,8.3,0.0,10.8,96,gwalior
2020-01-23,19.5,8.6,0.0,17.3,91,gwalior
2020-01-24,19.9,8.4,0.0,13.5,79,gwalior
2020-01-25,20.5,7.3,0.0,10.2,89,gwalior
2020-01-26,22.4,8.2,0.0,7.6,91,gwalior
2020-01-27,23.8,10.6,0.0,12.9,90,gwalior
2020-01-28,24.3,13.1,0.0,16.5,88,gwalior
2020-01-29,20.9,11.1,0.0,18.4,92,gwalior
2020-01-30,20.0,9.4,0.0,15.1,93,gwalior
2020-01-31,21.0,7.7,0.0,10.3,90,gwalior
2020-02-01,21.2,8.9,0.0,14.0,92,gwalior
2020-02-02,20.1,7.6,0.0,10.5,95,gwalior
2020-02-03,21.0,8.9,0.0,9.7,80,gwalior
2020-02-04,22.1,9.1,0.0,12.3,88,gwalior
2020-02-05,22.4,10.6,0.0,10.2,85,gwalior
2020-02-06,22.4,9.2,0.0,13.7,96,gwalior
2020-02-07,21.2,10.4,0.0,14.4,92,gwalior
2020-02-08,20.9,8.4,0.0,13.1,92,gwalior
2020-02-09,21.7,11.2,0.0,9.4,87,gwalior
2020-02-10,22.5,9.8,0.0,9.0,88,gwalior
2020-02-11,24.0,9.4,0.0,9.1,85,gwalior
2020-02-12,26.5,11.2,0.0,12.2,82,gwalior
2020-02-13,28.6,14.6,0.0,18.6,75,gwalior
2020-02-14,26.9,14.6,0.0,20.7,63,gwalior
2020-02-15,26.6,12.9,0.0,17.1,58,gwalior
2020-02-16,27.7,11.7,0.0,12.0,66,gwalior
2020-02-17,28.6,12.3,0.0,14.3,68,gwalior
2020-02-18,29.0,11.9,0.0,15.8,85,gwalior
2020-02-19,29.5,12.1,0.0,14.0,76,gwalior
2020-02-20,29.6,15.9,0.1,15.8,75,gwalior
2020-02-21,29.0,15.4,0.0,23.4,87,gwalior
2020-02-22,25.0,12.6,0.0,12.4,100,gwalior
2020-02-23,26.2,13.9,0.0,14.9,98,gwalior
2020-02-24,25.0,13.9,0.6,11.6,98,gwalior
2020-02-25,26.4,14.1,0.0,14.7,94,gwalior
2020-02-26,28.0,14.3,0.0,13.3,84,gwalior
2020-02-27,29.0,15.4,0.0,12.3,86,gwalior
2020-02-28,29.1,16.7,0.0,16.4,80,gwalior
2020-02-29,27.1,18.2,17.5,16.8,81,gwalior
2020-03-01,29.0,15.6,2.0,14.1,96,gwalior
2020-03-02,28.2,16.5,0.0,11.2,97,gwalior
2020-03-03,28.4,17.2,0.0,9.4,90,gwalior
2020-03-04,26.5,17.5,2.7,15.8,89,gwalior
2020-03-05,27.5,15.9,0.0,16.6,92,gwalior
2020-03-06,28.0,16.3,0.6,17.6,94,gwalior
2020-03-07,25.6,15.1,0.0,17.0,99,gwalior
2020-03-08,25.5,12.8,0.0,14.5,95,gwalior
2020-03-09,26.3,13.8,0.0,15.1,74,gwalior
2020-03-10,25.2,14.4,0.1,12.5,83,gwalior
2020-03-11,28.7,14.9,0.5,17.6,95,gwalior
2020-03-12,27.8,16.1,0.0,13.4,73,gwalior
2020-03-13,27.8,16.2,0.0,16.0,65,gwalior
2020-03-14,27.9,13.1,0.0,16.6,94,gwalior
2020-03-15,25.2,14.1,0.0,15.3,90,gwalior
2020-03-16,25.5,13.4,0.0,9.3,90,gwalior
2020-03-17,28.1,14.4,0.0,10.8,79,gwalior
2020-03-18,30.5,15.0,0.0,11.3,77,gwalior
2020-03-19,32.3,17.6,0.0,18.1,63,gwalior
2020-03-20,31.7,18.8,0.0,14.6,62,gwalior
2020-03-21,29.9,20.3,0.6,23.9,66,gwalior
2020-03-22,31.9,18.9,0.0,11.6,72,gwalior
2020-03-23,32.6,18.2,0.0,10.8,66,gwalior
2020-03-24,33.2,20.6,0.1,22.3,73,gwalior
2020-03-25,33.2,21.0,0.1,9.0,73,gwalior
2020-03-26,31.0,21.2,0.0,14.3,77,gwalior
2020-03-27,25.1,19.5,12.6,15.7,90,gwalior
2020-03-28,29.5,17.2,0.0,12.3,96,gwalior
2020-03-29,30.5,16.9,0.0,16.6,79,gwalior
2020-03-30,31.7,16.9,0.0,13.5,74,gwalior
2020-03-31,33.9,17.9,0.0,11.1,68,gwalior
2020-04-01,34.8,19.8,0.0,16.6,70,gwalior
2020-04-02,32.5,20.5,0.0,14.8,67,gwalior
2020-04-03,32.7,18.2,0.0,14.4,62,gwalior
2020-04-04,33.6,18.1,0.0,12.7,50,gwalior
2020-04-05,35.1,19.9,0.0,10.7,53,gwalior
2020-04-06,37.0,21.5,0.0,17.4,52,gwalior
2020-04-07,37.0,21.0,0.0,11.8,46,gwalior
2020-04-08,34.1,22.0,0.1,15.8,47,gwalior
2020-04-09,35.6,20.4,0.0,17.4,54,gwalior
2020-04-10,36.3,22.8,0.0,14.9,44,gwalior
2020-04-11,38.5,21.9,0.0,18.5,43,gwalior
2020-04-12,37.5,22.8,0.0,14.9,55,gwalior
2020-04-13,38.5,23.1,0.0,17.3,53,gwalior
2020-04-14,39.5,26.4,0.0,21.7,38,gwalior
2020-04-15,39.6,27.5,0.0,22.5,40,gwalior
2020-04-16,39.3,26.0,0.0,16.3,32,gwalior
2020-04-17,38.1,25.0,0.0,19.5,44,gwalior
2020-04-18,38.5,26.1,0.0,24.5,38,gwalior
2020-04-19,36.6,23.1,0.0,18.1,44,gwalior
2020-04-20,33.8,23.5,0.0,15.7,48,gwalior
2020-04-21,34.4,22.5,0.0,15.6,54,gwalior
2020-04-22,36.3,22.9,0.0,12.9,53,gwalior
2020-04-23,35.3,25.4,0.2,17.8,45,gwalior
2020-04-24,37.1,24.2,0.0,13.1,56,gwalior
2020-04-25,36.0,25.9,0.6,21.3,51,gwalior
2020-04-26,34.0,24.2,1.7,21.1,70,gwalior
2020-04-27,34.4,22.0,2.0,14.8,88,gwalior
2020-04-28,35.0,24.2,0.1,13.0,75,gwalior
2020-04-29,36.0,24.2,0.0,12.1,67,gwalior
2020-04-30,38.9,25.7,0.9,15.3,62,gwalior
2020-05-01,40.4,25.1,0.0,21.5,59,gwalior
2020-05-02,39.8,25.1,0.0,18.9,72,gwalior
2020-05-03,39.2,24.2,9.1,21.6,84,gwalior
2020-05-04,37.0,23.1,0.0,13.2,88,gwalior
2020-05-05,35.2,24.8,0.1,16.4,79,gwalior
2020-05-06,36.4,24.4,0.0,20.8,75,gwalior
2020-05-07,37.8,24.0,0.0,12.0,61,gwalior
2020-05-08,40.0,25.0,0.0,15.0,64,gwalior
2020-05-09,40.5,26.0,0.0,16.8,54,gwalior
2020-05-10,39.8,26.4,0.0,26.5,69,gwalior
2020-05-11,38.3,23.5,0.0,10.2,81,gwalior
2020-05-12,37.5,25.8,0.3,13.9,71,gwalior
2020-05-13,39.0,26.6,0.0,28.5,60,gwalior
2020-05-14,40.0,26.4,0.0,9.4,64,gwalior
2020-05-15,38.8,28.9,0.2,11.4,49,gwalior
2020-05-16,39.0,27.3,0.0,16.4,48,gwalior
2020-05-17,39.8,26.8,0.0,13.6,46,gwalior
2020-05-18,40.5,27.5,0.0,15.5,43,gwalior
2020-05-19,41.1,25.3,0.0,16.9,42,gwalior
2020-05-20,40.0,26.0,0.0,15.6,29,gwalior
2020-05-21,41.2,25.5,0.0,22.8,35,gwalior
2020-05-22,43.5,26.7,0.0,19.3,27,gwalior
2020-05-23,43.2,31.4,0.0,25.6,26,gwalior
2020-05-24,43.3,30.0,0.0,21.7,32,gwalior
2020-05-25,43.8,30.5,0.0,19.4,27,gwalior
2020-05-26,43.6,32.3,0.0,24.5,27,gwalior
2020-05-27,43.6,32.5,0.0,24.0,34,gwalior
2020-05-28,42.3,28.9,0.0,27.2,48,gwalior
2020-05-29,39.8,26.1,4.6,24.2,74,gwalior
2020-05-30,35.5,23.6,6.4,19.2,90,gwalior
2020-05-31,35.6,24.8,5.0,15.8,87,gwalior
2020-06-01,37.3,24.5,0.0,15.6,86,gwalior
2020-06-02,36.0,25.9,0.5,12.5,67,gwalior
2020-06-03,37.3,27.1,0.1,21.9,68,gwalior
2020-06-04,30.9,23.7,1.1,14.2,91,gwalior
2020-06-05,34.3,22.1,0.1,11.2,98,gwalior
2020-06-06,35.3,23.6,0.0,11.6,83,gwalior
2020-06-07,36.7,26.9,0.1,14.8,76,gwalior
2020-06-08,38.5,26.9,0.0,13.8,65,gwalior
2020-06-09,39.3,29.0,0.0,15.2,58,gwalior
2020-06-10,40.6,30.0,0.0,13.8,58,gwalior
2020-06-11,38.4,30.0,0.1,15.3,57,gwalior
2020-06-12,39.7,30.0,0.0,15.3,63,gwalior
2020-06-13,39.5,30.9,0.0,14.8,60,gwalior
2020-06-14,39.5,30.2,0.2,15.1,71,gwalior
2020-06-15,39.8,29.2,0.0,18.4,76,gwalior
2020-06-16,40.9,29.1,0.0,14.5,78,gwalior
2020-06-17,41.5,29.6,0.0,19.8,70,gwalior
2020-06-18,41.9,30.0,0.0,20.5,70,gwalior
2020-06-19,41.7,30.3,0.0,27.5,68,gwalior
2020-06-20,41.7,30.9,0.9,21.6,58,gwalior
2020-06-21,39.3,29.1,0.0,17.4,67,gwalior
2020-06-22,36.8,27.5,1.3,16.7,77,gwalior
2020-06-23,34.2,27.3,4.2,13.7,92,gwalior
2020-06-24,31.8,25.4,17.5,9.0,98,gwalior
2020-06-25,34.8,26.7,0.8,13.1,92,gwalior
2020-06-26,36.3,28.5,2.0,16.8,76,gwalior
2020-06-27,36.0,28.5,2.2,20.0,77,gwalior
2020-06-28,38.3,29.7,0.2,23.5,72,gwalior
2020-06-29,38.9,30.3,0.0,19.9,72,gwalior
2020-06-30,35.8,27.6,0.2,12.7,85,gwalior
2020-07-01,37.2,26.9,0.4,10.5,88,gwalior
2020-07-02,38.7,29.4,0.1,12.0,80,gwalior
2020-07-03,40.5,29.8,5.1,18.1,88,gwalior
2020-07-04,38.3,28.4,0.4,16.6,94,gwalior
2020-07-05,34.0,26.5,1.7,15.0,95,gwalior
2020-07-06,32.8,26.2,7.2,13.2,93,gwalior
2020-07-07,32.2,25.2,9.1,13.7,98,gwalior
2020-07-08,33.3,26.5,24.2,10.6,96,gwalior
2020-07-09,35.0,28.2,3.2,17.3,87,gwalior
2020-07-10,36.2,27.9,4.1,22.0,83,gwalior
2020-07-11,35.2,28.5,0.2,22.7,74,gwalior
2020-07-12,34.5,28.2,2.1,19.2,85,gwalior
2020-07-13,33.5,27.2,1.9,18.9,86,gwalior
2020-07-14,34.5,28.0,0.0,11.2,82,gwalior
2020-07-15,34.0,26.3,2.7,13.2,94,gwalior
2020-07-16,32.5,26.0,7.8,14.4,95,gwalior
2020-07-17,35.2,27.4,0.3,14.1,91,gwalior
2020-07-18,34.9,27.7,1.6,12.1,89,gwalior
2020-07-19,36.7,28.1,10.3,22.0,87,gwalior
2020-07-20,32.4,26.6,10.8,17.6,93,gwalior
2020-07-21,34.0,26.5,5.3,19.0,96,gwalior
2020-07-22,34.0,26.4,1.4,18.6,95,gwalior
2020-07-23,34.2,25.9,1.2,13.0,89,gwalior
2020-07-24,34.6,25.7,2.6,10.6,92,gwalior
2020-07-25,34.3,26.6,0.4,10.9,90,gwalior
2020-07-26,35.0,27.1,0.2,8.8,91,gwalior
2020-07-27,35.8,28.8,1.9,17.8,75,gwalior
2020-07-28,33.7,27.1,7.9,17.3,87,gwalior
2020-07-29,29.5,25.2,27.7,13.0,97,gwalior
2020-07-30,32.8,24.8,2.2,9.1,98,gwalior
2020-07-31,32.8,26.6,23.5,11.8,94,gwalior
2020-08-01,32.6,27.6,10.4,11.0,88,gwalior
2020-08-02,34.7,26.8,1.4,14.3,92,gwalior
2020-08-03,34.7,26.9,4.1,19.7,88,gwalior
2020-08-04,33.3,26.8,13.0,13.6,95,gwalior
2020-08-05,33.0,26.2,5.7,16.9,95,gwalior
2020-08-06,31.6,26.0,12.6,25.3,95,gwalior
2020-08-07,32.6,25.8,1.6,15.9,96,gwalior
2020-08-08,32.4,26.5,8.8,11.8,95,gwalior
2020-08-09,32.5,25.8,13.7,15.1,95,gwalior
2020-08-10,32.3,26.0,8.4,7.6,97,gwalior
2020-08-11,32.4,26.5,15.0,13.3,98,gwalior
2020-08-12,29.1,26.1,53.9,15.2,94,gwalior
2020-08-13,29.0,26.1,32.6,14.9,97,gwalior
2020-08-14,32.4,25.4,8.5,10.4,98,gwalior
2020-08-15,31.9,25.6,7.1,13.4,99,gwalior
2020-08-16,31.9,26.3,11.8,9.3,97,gwalior
2020-08-17,32.7,26.0,7.2,10.2,97,gwalior
2020-08-18,32.8,26.5,12.9,12.6,95,gwalior
2020-08-19,31.5,25.7,20.0,13.8,97,gwalior
2020-08-20,30.6,25.1,9.8,14.1,97,gwalior
2020-08-21,30.6,25.8,5.4,21.6,93,gwalior
2020-08-22,30.3,25.3,4.7,24.1,96,gwalior
2020-08-23,30.4,25.5,14.3,19.1,91,gwalior
2020-08-24,31.7,25.2,1.7,18.5,89,gwalior
2020-08-25,31.6,25.5,1.4,19.7,87,gwalior
2020-08-26,31.9,25.8,2.4,18.2,86,gwalior
2020-08-27,30.2,25.5,7.2,16.6,93,gwalior
2020-08-28,30.6,25.5,7.2,14.7,94,gwalior
