Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,26.7,18.6,0.2,20.1,96,hyderabad
2020-01-02,26.6,20.0,0.5,18.1,97,hyderabad
2020-01-03,27.2,19.9,0.7,13.2,98,hyderabad
2020-01-04,26.7,18.6,0.4,8.9,99,hyderabad
2020-01-05,25.5,17.0,0.0,12.8,95,hyderabad
2020-01-06,25.9,16.7,0.0,14.1,84,hyderabad
2020-01-07,27.2,19.5,0.0,15.5,98,hyderabad
2020-01-08,28.9,19.5,0.0,16.8,98,hyderabad
2020-01-09,27.7,18.9,0.3,11.3,98,hyderabad
2020-01-10,26.5,19.0,0.3,14.2,97,hyderabad
2020-01-11,26.9,15.8,0.0,11.3,93,hyderabad
2020-01-12,27.5,15.1,0.0,8.4,92,hyderabad
2020-01-13,28.6,16.1,0.0,8.4,86,hyderabad
2020-01-14,28.8,15.6,0.0,11.5,91,hyderabad
2020-01-15,27.6,17.0,0.0,16.2,95,hyderabad
2020-01-16,27.9,16.5,0.0,15.5,92,hyderabad
2020-01-17,27.9,17.1,0.0,14.9,94,hyderabad
2020-01-18,28.5,18.5,0.0,15.4,99,hyderabad
2020-01-19,28.8,18.6,0.0,11.0,97,hyderabad
2020-01-20,28.1,18.6,0.1,11.7,93,hyderabad
2020-01-21,28.6,18.4,0.0,17.9,92,hyderabad
2020-01-22,28.6,17.8,0.0,15.1,94,hyderabad
2020-01-23,28.5,15.8,0.0,11.1,96,hyderabad
2020-01-24,29.2,18.2,0.0,11.5,86,hyderabad
2020-01-25,29.4,17.2,0.0,9.5,90,hyderabad
2020-01-26,30.4,17.6,0.0,8.4,90,hyderabad
2020-01-27,30.9,17.4,0.0,9.8,90,hyderabad
2020-01-28,30.4,18.6,0.0,15.6,84,hyderabad
2020-01-29,30.6,19.1,0.0,11.8,93,hyderabad
2020-01-30,29.8,18.7,0.0,11.4,88,hyderabad
2020-01-31,29.4,17.4,0.0,13.3,87,hyderabad
2020-02-01,29.2,19.4,0.0,13.7,82,hyderabad
2020-02-02,28.5,19.6,0.2,16.8,92,hyderabad
2020-02-03,29.3,19.0,0.0,12.5,96,hyderabad
2020-02-04,30.1,18.5,0.0,15.8,92,hyderabad
2020-02-05,29.2,17.9,0.0,10.6,94,hyderabad
2020-02-06,30.8,18.5,0.0,16.5,89,hyderabad
2020-02-07,29.4,19.6,0.2,15.8,92,hyderabad
2020-02-08,27.1,18.9,3.2,13.6,97,hyderabad
2020-02-09,21.5,18.5,17.0,15.5,98,hyderabad
2020-02-10,25.0,18.2,1.1,17.6,97,hyderabad
2020-02-11,26.1,19.2,0.6,17.4,97,hyderabad
2020-02-12,26.9,18.0,0.2,13.9,98,hyderabad
2020-02-13,29.4,17.9,0.0,13.5,94,hyderabad
2020-02-14,29.9,15.9,0.0,11.4,85,hyderabad
2020-02-15,31.0,15.7,0.0,9.4,85,hyderabad
2020-02-16,30.5,16.8,0.0,11.4,79,hyderabad
2020-02-17,30.7,16.5,0.0,10.5,89,hyderabad
2020-02-18,30.3,17.6,0.0,10.8,66,hyderabad
2020-02-19,30.5,15.4,0.0,10.6,77,hyderabad
2020-02-20,30.0,18.0,0.0,16.5,94,hyderabad
2020-02-21,29.5,17.3,0.0,17.9,92,hyderabad
2020-02-22,30.1,16.4,0.0,16.3,86,hyderabad
2020-02-23,30.0,17.2,0.0,15.9,83,hyderabad
2020-02-24,31.4,17.6,0.0,13.9,80,hyderabad
2020-02-25,31.0,19.8,0.0,11.9,85,hyderabad
2020-02-26,29.5,18.9,0.0,14.8,90,hyderabad
2020-02-27,29.9,18.1,0.0,15.2,61,hyderabad
2020-02-28,30.1,16.8,0.0,14.3,96,hyderabad
2020-02-29,29.5,19.0,0.0,14.0,98,hyderabad
2020-03-01,30.6,19.1,0.0,11.1,96,hyderabad
2020-03-02,29.9,21.2,0.0,8.8,76,hyderabad
2020-03-03,30.9,19.5,0.5,7.9,90,hyderabad
2020-03-04,33.0,20.3,0.0,15.3,83,hyderabad
2020-03-05,31.6,18.8,0.0,11.4,80,hyderabad
2020-03-06,31.7,20.4,0.3,18.2,97,hyderabad
2020-03-07,31.2,21.2,0.2,12.1,96,hyderabad
2020-03-08,30.0,21.3,0.0,12.3,98,hyderabad
2020-03-09,30.2,20.8,0.5,12.6,96,hyderabad
2020-03-10,31.9,20.9,0.6,14.3,80,hyderabad
2020-03-11,31.5,21.5,0.6,14.8,86,hyderabad
2020-03-12,31.5,21.1,0.5,14.9,90,hyderabad
2020-03-13,32.6,21.2,0.0,14.8,91,hyderabad
2020-03-14,33.2,20.0,0.0,12.9,96,hyderabad
2020-03-15,31.7,20.2,0.0,11.8,89,hyderabad
2020-03-16,32.1,20.1,0.0,14.5,94,hyderabad
2020-03-17,33.4,21.5,0.0,17.2,75,hyderabad
2020-03-18,33.5,20.2,0.0,10.6,76,hyderabad
2020-03-19,32.8,22.1,0.0,16.2,80,hyderabad
2020-03-20,33.0,21.8,0.0,11.5,80,hyderabad
2020-03-21,31.2,20.6,0.5,9.7,91,hyderabad
2020-03-22,32.4,20.6,0.0,9.0,98,hyderabad
2020-03-23,31.8,21.0,0.5,10.8,96,hyderabad
2020-03-24,32.5,21.4,0.0,12.0,83,hyderabad
2020-03-25,32.6,21.5,0.0,13.6,83,hyderabad
2020-03-26,33.0,21.5,0.0,14.1,71,hyderabad
2020-03-27,34.3,22.1,0.0,14.5,64,hyderabad
2020-03-28,34.7,21.5,0.0,10.5,63,hyderabad
2020-03-29,35.0,23.0,0.0,9.4,71,hyderabad
2020-03-30,34.3,22.2,0.0,9.7,69,hyderabad
2020-03-31,34.9,21.4,0.0,8.9,81,hyderabad
2020-04-01,33.9,23.0,0.0,8.7,78,hyderabad
2020-04-02,34.0,24.0,0.0,12.8,70,hyderabad
2020-04-03,34.8,23.1,0.0,10.8,70,hyderabad
2020-04-04,34.1,23.4,0.0,10.3,68,hyderabad
2020-04-05,35.0,23.0,0.0,12.2,79,hyderabad
2020-04-06,33.9,24.1,0.0,9.1,87,hyderabad
2020-04-07,35.0,23.0,0.1,16.2,78,hyderabad
2020-04-08,35.6,23.9,0.0,17.6,73,hyderabad
2020-04-09,34.3,22.8,0.2,18.9,76,hyderabad
2020-04-10,34.5,21.4,0.0,14.8,95,hyderabad
2020-04-11,34.7,21.3,0.0,11.5,80,hyderabad
2020-04-12,35.3,22.5,0.0,12.7,74,hyderabad
2020-04-13,35.9,22.6,0.0,12.2,64,hyderabad
2020-04-14,35.8,22.4,0.0,11.2,66,hyderabad
2020-04-15,36.0,22.9,0.0,10.9,62,hyderabad
2020-04-16,35.4,23.1,0.0,13.0,66,hyderabad
2020-04-17,35.7,23.0,0.0,14.5,68,hyderabad
2020-04-18,35.9,23.6,0.2,11.2,79,hyderabad
2020-04-19,35.5,23.3,0.0,9.8,79,hyderabad
2020-04-20,36.2,23.5,2.4,13.4,77,hyderabad
2020-04-21,35.9,24.1,0.0,17.8,75,hyderabad
2020-04-22,35.4,24.4,0.0,13.4,73,hyderabad
2020-04-23,37.5,24.3,0.0,12.4,85,hyderabad
2020-04-24,35.3,25.8,0.0,17.3,82,hyderabad
2020-04-25,36.3,26.0,0.0,16.7,69,hyderabad
2020-04-26,34.8,25.5,0.0,10.6,90,hyderabad
2020-04-27,35.0,24.9,0.1,22.6,91,hyderabad
2020-04-28,34.6,24.7,0.0,18.5,89,hyderabad
2020-04-29,33.3,24.1,0.4,10.7,94,hyderabad
2020-04-30,35.8,23.9,0.0,7.9,69,hyderabad
2020-05-01,36.8,24.8,0.0,19.0,76,hyderabad
2020-05-02,35.8,23.6,0.1,8.4,83,hyderabad
2020-05-03,37.3,24.5,0.0,10.1,64,hyderabad
2020-05-04,37.2,25.1,0.0,15.8,64,hyderabad
2020-05-05,36.8,25.1,0.0,9.9,81,hyderabad
2020-05-06,36.7,25.2,0.0,14.3,72,hyderabad
2020-05-07,36.4,25.0,0.1,14.6,88,hyderabad
2020-05-08,35.5,25.6,0.1,11.4,84,hyderabad
2020-05-09,36.5,27.7,0.0,14.9,67,hyderabad
2020-05-10,36.2,25.1,0.4,10.7,77,hyderabad
2020-05-11,35.0,24.0,0.0,11.5,80,hyderabad
2020-05-12,35.8,24.9,0.0,9.7,75,hyderabad
2020-05-13,35.9,24.5,0.0,12.3,73,hyderabad
2020-05-14,36.4,24.9,0.0,12.3,80,hyderabad
2020-05-15,36.2,25.0,0.2,12.7,75,hyderabad
2020-05-16,36.0,26.0,0.4,13.0,74,hyderabad
2020-05-17,36.7,25.1,0.0,12.5,86,hyderabad
2020-05-18,36.2,25.7,0.2,22.1,78,hyderabad
2020-05-19,37.0,25.6,0.0,21.2,71,hyderabad
2020-05-20,38.2,25.2,0.0,20.2,62,hyderabad
2020-05-21,39.3,26.0,0.0,21.4,56,hyderabad
2020-05-22,38.8,23.0,0.0,15.7,47,hyderabad
2020-05-23,39.3,23.4,0.0,14.7,58,hyderabad
2020-05-24,39.0,25.0,0.0,12.5,63,hyderabad
2020-05-25,38.2,25.9,0.2,15.0,84,hyderabad
2020-05-26,38.1,26.6,0.1,11.8,79,hyderabad
2020-05-27,38.2,28.0,0.1,12.3,66,hyderabad
2020-05-28,39.7,28.4,0.0,13.2,67,hyderabad
2020-05-29,38.5,27.5,0.0,16.3,49,hyderabad
2020-05-30,36.8,26.9,0.0,13.6,81,hyderabad
2020-05-31,35.0,26.8,3.0,11.6,72,hyderabad
2020-06-01,32.8,24.1,6.0,13.7,89,hyderabad
2020-06-02,33.7,23.9,8.0,11.6,94,hyderabad
2020-06-03,31.9,23.6,3.8,20.4,94,hyderabad
2020-06-04,31.8,24.6,0.0,27.2,77,hyderabad
2020-06-05,33.7,25.1,0.1,18.7,80,hyderabad
2020-06-06,34.0,24.8,0.5,16.1,73,hyderabad
2020-06-07,34.7,25.4,0.0,18.4,72,hyderabad
2020-06-08,35.5,25.9,0.2,19.4,67,hyderabad
2020-06-09,35.4,26.1,0.2,21.3,68,hyderabad
2020-06-10,31.9,24.5,13.2,18.4,91,hyderabad
2020-06-11,26.8,23.4,19.7,18.5,95,hyderabad
2020-06-12,26.1,23.0,36.0,20.2,94,hyderabad
2020-06-13,30.2,23.4,3.1,23.2,89,hyderabad
2020-06-14,31.4,24.0,2.4,22.2,85,hyderabad
2020-06-15,30.5,24.6,2.4,24.9,86,hyderabad
2020-06-16,29.1,24.0,24.7,24.8,93,hyderabad
2020-06-17,28.5,23.1,18.5,22.4,93,hyderabad
2020-06-18,29.1,23.3,4.0,23.3,93,hyderabad
2020-06-19,30.0,23.2,2.7,23.1,94,hyderabad
2020-06-20,31.5,24.3,1.2,24.1,87,hyderabad
2020-06-21,26.8,23.9,6.4,20.6,92,hyderabad
2020-06-22,28.4,23.6,0.3,22.9,90,hyderabad
2020-06-23,32.0,23.6,0.1,18.8,87,hyderabad
2020-06-24,31.5,23.6,0.5,12.6,89,hyderabad
2020-06-25,32.2,23.1,4.7,12.7,94,hyderabad
2020-06-26,32.4,23.5,0.2,12.4,93,hyderabad
2020-06-27,32.2,24.4,15.4,15.9,95,hyderabad
2020-06-28,31.4,24.0,8.5,16.9,96,hyderabad
2020-06-29,31.3,23.6,4.2,13.5,95,hyderabad
2020-06-30,30.5,23.4,2.6,9.1,97,hyderabad
2020-07-01,31.4,23.5,1.0,15.0,96,hyderabad
2020-07-02,30.0,23.5,2.7,20.7,93,hyderabad
2020-07-03,31.3,23.5,2.9,22.1,92,hyderabad
2020-07-04,26.5,22.7,9.5,19.6,94,hyderabad
2020-07-05,24.5,22.8,41.5,22.6,93,hyderabad
2020-07-06,25.6,23.1,4.4,21.3,93,hyderabad
2020-07-07,30.5,23.5,0.9,25.0,87,hyderabad
2020-07-08,30.5,23.2,0.9,17.1,92,hyderabad
2020-07-09,27.8,23.1,15.4,15.1,95,hyderabad
2020-07-10,26.8,23.0,2.2,19.3,95,hyderabad
2020-07-11,29.8,22.6,1.0,18.0,94,hyderabad
2020-07-12,30.1,23.5,0.4,19.9,91,hyderabad
2020-07-13,28.6,23.4,4.7,14.0,94,hyderabad
2020-07-14,28.4,22.9,15.1,13.0,94,hyderabad
2020-07-15,25.4,22.6,17.6,15.5,96,hyderabad
2020-07-16,26.7,22.4,1.8,22.1,94,hyderabad
2020-07-17,29.5,22.8,12.6,21.1,92,hyderabad
2020-07-18,30.5,23.0,0.6,16.6,92,hyderabad
2020-07-19,30.4,23.4,12.0,15.5,94,hyderabad
2020-07-20,28.5,23.0,5.0,13.2,97,hyderabad
2020-07-21,30.6,23.4,1.1,11.3,97,hyderabad
2020-07-22,31.3,23.7,1.1,11.2,95,hyderabad
2020-07-23,26.8,23.2,18.0,14.0,100,hyderabad
2020-07-24,30.1,23.5,0.3,13.5,97,hyderabad
2020-07-25,27.1,22.6,0.5,11.0,97,hyderabad
2020-07-26,30.9,22.4,0.0,14.2,96,hyderabad
2020-07-27,30.7,23.0,3.1,19.6,90,hyderabad
2020-07-28,31.0,23.0,4.9,17.4,95,hyderabad
2020-07-29,31.0,23.1,17.5,11.0,96,hyderabad
2020-07-30,30.6,22.7,0.2,9.0,98,hyderabad
2020-07-31,31.0,23.6,4.2,10.6,97,hyderabad
2020-08-01,31.5,22.6,8.6,12.5,97,hyderabad
2020-08-02,31.0,23.2,3.3,14.8,95,hyderabad
2020-08-03,29.0,23.4,2.9,27.8,92,hyderabad
2020-08-04,24.9,23.2,6.9,28.0,91,hyderabad
2020-08-05,27.2,22.6,13.8,30.7,94,hyderabad
2020-08-06,28.6,22.9,2.4,25.3,92,hyderabad
2020-08-07,29.8,23.1,0.3,25.8,88,hyderabad
2020-08-08,29.1,23.5,5.9,23.4,86,hyderabad
2020-08-09,29.0,23.0,11.5,26.3,94,hyderabad
2020-08-10,26.4,22.8,9.9,20.2,94,hyderabad
