Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,18.1,6.3,0.0,17.3,94,jaipur
2020-01-02,19.3,8.6,0.0,13.7,91,jaipur
2020-01-03,21.1,10.4,0.0,11.4,93,jaipur
2020-01-04,19.9,10.1,0.2,8.9,96,jaipur
2020-01-05,21.0,8.2,0.0,8.0,92,jaipur
2020-01-06,21.7,8.9,0.0,11.7,94,jaipur
2020-01-07,21.6,11.5,0.0,10.9,94,jaipur
2020-01-08,20.1,9.9,0.0,17.6,98,jaipur
2020-01-09,17.7,6.9,0.0,13.1,91,jaipur
2020-01-10,18.8,5.7,0.0,11.2,89,jaipur
2020-01-11,19.4,5.2,0.0,10.0,84,jaipur
2020-01-12,22.0,7.3,0.0,11.7,82,jaipur
2020-01-13,23.4,10.8,3.2,21.4,85,jaipur
2020-01-14,20.3,9.4,0.0,14.5,93,jaipur
2020-01-15,19.9,8.5,0.1,14.6,92,jaipur
2020-01-16,18.2,10.0,3.6,15.6,89,jaipur
2020-01-17,20.0,8.0,0.0,9.8,95,jaipur
2020-01-18,19.0,7.9,0.1,9.5,100,jaipur
2020-01-19,19.5,8.6,0.0,12.9,93,jaipur
2020-01-20,19.0,6.3,0.0,10.8,91,jaipur
2020-01-21,20.8,8.9,0.0,13.3,93,jaipur
2020-01-22,22.0,9.4,0.0,15.5,96,jaipur
2020-01-23,21.2,8.9,0.0,15.2,78,jaipur
2020-01-24,22.5,8.6,0.0,13.0,62,jaipur
2020-01-25,22.1,8.1,0.0,10.6,67,jaipur
2020-01-26,24.4,8.8,0.0,9.2,76,jaipur
2020-01-27,23.2,10.7,0.0,15.5,88,jaipur
2020-01-28,21.9,11.8,0.1,19.4,95,jaipur
2020-01-29,20.9,10.9,0.0,12.1,80,jaipur
2020-01-30,20.8,8.6,0.0,13.0,81,jaipur
2020-01-31,20.7,8.1,0.0,15.9,86,jaipur
2020-02-01,21.4,7.7,0.0,13.9,91,jaipur
2020-02-02,21.1,8.2,0.0,12.9,81,jaipur
2020-02-03,21.0,7.7,0.0,9.7,83,jaipur
2020-02-04,21.5,8.4,0.1,12.0,85,jaipur
2020-02-05,22.9,9.6,0.0,18.8,84,jaipur
2020-02-06,21.4,8.9,0.0,11.2,79,jaipur
2020-02-07,21.8,8.3,0.0,14.5,82,jaipur
2020-02-08,22.4,8.3,0.0,9.8,85,jaipur
2020-02-09,22.0,8.2,0.0,9.1,80,jaipur
2020-02-10,22.0,7.6,0.0,9.3,85,jaipur
2020-02-11,23.2,8.6,0.0,10.1,81,jaipur
2020-02-12,26.9,9.8,0.0,9.4,80,jaipur
2020-02-13,28.6,13.4,0.0,16.0,67,jaipur
2020-02-14,26.9,14.9,0.0,19.5,64,jaipur
2020-02-15,27.9,11.9,0.0,13.2,47,jaipur
2020-02-16,29.0,11.4,0.0,9.9,38,jaipur
2020-02-17,30.1,13.3,0.0,12.8,52,jaipur
2020-02-18,28.9,11.1,0.0,14.9,45,jaipur
2020-02-19,28.6,12.4,0.0,14.2,58,jaipur
2020-02-20,29.2,14.6,0.0,14.7,71,jaipur
2020-02-21,25.1,13.9,0.0,18.0,89,jaipur
2020-02-22,25.0,12.5,0.0,15.6,99,jaipur
2020-02-23,24.7,14.2,0.0,11.2,87,jaipur
2020-02-24,25.6,13.9,0.0,10.2,95,jaipur
2020-02-25,27.0,13.2,0.0,12.1,89,jaipur
2020-02-26,28.7,14.0,0.0,15.2,76,jaipur
2020-02-27,29.5,15.9,0.0,13.4,75,jaipur
2020-02-28,28.6,17.5,0.0,14.0,79,jaipur
2020-02-29,26.8,16.4,4.3,19.9,88,jaipur
2020-03-01,28.1,15.1,0.3,17.5,99,jaipur
2020-03-02,28.4,16.6,0.0,11.5,86,jaipur
2020-03-03,27.6,16.5,0.0,10.5,89,jaipur
2020-03-04,28.0,16.7,3.9,16.6,84,jaipur
2020-03-05,26.5,15.4,0.7,20.9,94,jaipur
2020-03-06,23.0,12.2,4.8,24.1,94,jaipur
2020-03-07,24.0,10.8,0.0,20.8,91,jaipur
2020-03-08,25.7,12.2,0.0,12.1,86,jaipur
2020-03-09,26.8,12.8,0.0,12.9,80,jaipur
2020-03-10,24.1,13.9,1.2,16.4,76,jaipur
2020-03-11,26.9,14.6,1.9,23.5,92,jaipur
2020-03-12,26.5,13.2,0.0,21.0,56,jaipur
2020-03-13,25.4,11.7,0.0,15.3,42,jaipur
2020-03-14,24.1,12.9,0.0,20.1,60,jaipur
2020-03-15,24.8,12.1,0.0,12.0,69,jaipur
2020-03-16,26.0,13.8,0.0,12.1,67,jaipur
2020-03-17,28.8,14.5,0.0,11.9,70,jaipur
2020-03-18,30.1,15.6,0.0,12.9,63,jaipur
2020-03-19,31.4,17.2,0.0,17.6,66,jaipur
2020-03-20,32.8,18.0,0.2,20.6,61,jaipur
2020-03-21,30.1,17.5,1.0,14.4,74,jaipur
2020-03-22,31.5,19.0,0.0,18.2,58,jaipur
2020-03-23,30.9,20.9,0.0,15.6,56,jaipur
2020-03-24,32.5,19.6,0.8,19.3,64,jaipur
2020-03-25,32.4,19.4,0.2,10.6,74,jaipur
2020-03-26,27.5,20.5,3.9,16.2,73,jaipur
2020-03-27,24.7,18.8,7.5,18.6,93,jaipur
2020-03-28,28.9,16.2,0.0,10.5,92,jaipur
2020-03-29,30.5,17.5,0.0,13.4,63,jaipur
2020-03-30,31.7,17.8,0.0,15.7,57,jaipur
2020-03-31,32.2,18.8,0.0,15.1,52,jaipur
2020-04-01,33.2,19.0,0.0,18.6,63,jaipur
2020-04-02,32.7,18.8,0.0,18.2,62,jaipur
2020-04-03,33.2,19.3,0.0,15.9,47,jaipur
2020-04-04,34.0,17.5,0.0,13.4,46,jaipur
2020-04-05,33.7,20.1,0.0,15.4,47,jaipur
2020-04-06,35.8,20.7,0.0,23.9,50,jaipur
2020-04-07,35.5,21.6,0.0,18.3,45,jaipur
2020-04-08,35.2,21.0,0.0,15.2,53,jaipur
2020-04-09,34.8,20.6,0.0,15.5,44,jaipur
2020-04-10,36.6,20.4,0.0,17.8,37,jaipur
2020-04-11,38.0,22.9,0.0,23.7,38,jaipur
2020-04-12,37.5,22.6,0.0,16.5,45,jaipur
2020-04-13,39.1,23.5,0.0,16.8,43,jaipur
2020-04-14,38.2,25.0,0.0,19.3,34,jaipur
2020-04-15,38.9,27.2,0.0,25.1,27,jaipur
2020-04-16,38.2,27.3,0.0,19.1,37,jaipur
2020-04-17,36.5,27.6,0.0,25.2,29,jaipur
2020-04-18,37.0,24.9,0.0,24.4,28,jaipur
2020-04-19,35.8,24.8,0.0,22.8,46,jaipur
2020-04-20,31.5,24.2,0.1,18.4,47,jaipur
2020-04-21,33.7,21.7,0.0,18.8,63,jaipur
2020-04-22,36.2,22.4,0.0,15.9,45,jaipur
2020-04-23,33.7,25.0,0.1,21.3,44,jaipur
