Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,25.0,11.3,0.0,10.8,96,kolkata
2020-01-02,25.6,13.9,0.0,11.2,95,kolkata
2020-01-03,21.2,15.1,15.2,19.2,96,kolkata
2020-01-04,22.9,14.9,0.2,10.2,99,kolkata
2020-01-05,22.0,14.1,0.1,13.2,99,kolkata
2020-01-06,22.3,11.8,0.0,10.1,98,kolkata
2020-01-07,22.8,11.6,0.0,9.3,96,kolkata
2020-01-08,24.0,12.2,0.0,8.9,98,kolkata
2020-01-09,22.9,14.8,0.1,7.7,97,kolkata
2020-01-10,23.1,14.8,0.0,15.3,99,kolkata
2020-01-11,21.2,11.6,0.0,12.8,91,kolkata
2020-01-12,22.3,11.9,0.0,11.3,94,kolkata
2020-01-13,22.4,11.4,0.0,13.1,95,kolkata
2020-01-14,24.0,11.1,0.0,9.4,93,kolkata
2020-01-15,26.0,13.1,0.0,9.4,94,kolkata
2020-01-16,27.0,13.9,0.0,9.7,97,kolkata
2020-01-17,27.8,15.9,0.0,8.7,99,kolkata
2020-01-18,27.8,15.4,0.0,9.9,100,kolkata
2020-01-19,27.5,14.9,0.0,12.8,97,kolkata
2020-01-20,22.1,15.4,0.5,12.6,94,kolkata
2020-01-21,24.1,13.2,0.0,9.4,93,kolkata
2020-01-22,25.3,12.9,0.0,8.3,98,kolkata
2020-01-23,24.6,14.6,0.9,8.4,97,kolkata
2020-01-24,24.3,14.7,0.0,13.7,97,kolkata
2020-01-25,23.9,11.1,0.0,9.2,91,kolkata
2020-01-26,24.5,11.4,0.0,9.9,93,kolkata
2020-01-27,24.5,11.6,0.0,11.5,95,kolkata
2020-01-28,26.5,13.6,0.0,10.4,92,kolkata
2020-01-29,24.6,18.0,7.8,10.5,97,kolkata
2020-01-30,22.8,16.9,6.2,10.1,99,kolkata
2020-01-31,24.5,15.1,0.0,13.0,98,kolkata
2020-02-01,24.6,13.6,0.0,9.1,89,kolkata
2020-02-02,23.9,13.6,0.0,11.7,86,kolkata
2020-02-03,23.9,12.0,0.0,8.9,90,kolkata
2020-02-04,24.6,11.0,0.0,9.5,91,kolkata
2020-02-05,25.4,16.5,0.0,12.4,94,kolkata
2020-02-06,26.4,14.4,0.0,9.7,99,kolkata
2020-02-07,24.0,16.2,0.0,12.5,95,kolkata
2020-02-08,21.0,15.1,0.2,11.2,81,kolkata
2020-02-09,25.6,14.6,0.0,13.3,92,kolkata
2020-02-10,25.4,12.6,0.0,12.1,86,kolkata
2020-02-11,26.0,11.4,0.0,11.5,80,kolkata
2020-02-12,26.5,12.8,0.0,12.0,88,kolkata
2020-02-13,26.9,12.2,0.0,10.9,90,kolkata
2020-02-14,29.4,14.3,0.0,13.7,95,kolkata
2020-02-15,29.2,15.2,0.0,13.2,90,kolkata
2020-02-16,29.6,14.6,0.0,10.7,83,kolkata
2020-02-17,29.5,15.1,0.0,8.7,96,kolkata
2020-02-18,29.4,15.9,0.0,9.9,100,kolkata
2020-02-19,30.7,16.8,0.0,12.3,100,kolkata
2020-02-20,30.2,19.9,0.0,13.1,100,kolkata
2020-02-21,30.5,18.3,0.0,10.5,100,kolkata
2020-02-22,30.8,17.1,0.0,11.3,94,kolkata
2020-02-23,31.0,18.0,0.0,12.7,94,kolkata
2020-02-24,27.4,18.7,0.2,10.3,92,kolkata
2020-02-25,22.4,16.5,6.1,17.6,98,kolkata
2020-02-26,26.5,16.4,0.9,8.0,99,kolkata
2020-02-27,27.0,16.5,0.0,10.0,100,kolkata
2020-02-28,27.9,15.8,0.0,9.3,97,kolkata
2020-02-29,29.5,16.1,0.0,12.8,94,kolkata
2020-03-01,31.1,17.6,0.0,8.6,97,kolkata
2020-03-02,31.2,18.2,0.0,15.0,96,kolkata
2020-03-03,30.5,19.1,1.3,20.5,96,kolkata
2020-03-04,29.9,21.4,7.0,15.2,98,kolkata
2020-03-05,30.6,20.5,0.4,12.3,100,kolkata
2020-03-06,28.1,21.3,0.1,21.1,98,kolkata
2020-03-07,26.6,21.5,5.4,11.6,96,kolkata
2020-03-08,29.5,20.9,0.8,15.3,98,kolkata
