Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,18.7,5.2,0.0,10.4,96,lucknow
2020-01-02,19.7,9.9,4.8,17.0,96,lucknow
2020-01-03,18.8,12.2,3.9,14.3,98,lucknow
2020-01-04,18.8,10.8,0.2,8.0,99,lucknow
2020-01-05,20.5,9.8,0.0,15.8,99,lucknow
2020-01-06,21.5,10.6,0.0,14.1,92,lucknow
2020-01-07,21.3,10.4,0.5,12.3,96,lucknow
2020-01-08,16.8,11.1,11.3,18.4,95,lucknow
2020-01-09,17.4,10.4,1.7,14.5,96,lucknow
2020-01-10,17.6,7.8,0.0,13.0,95,lucknow
2020-01-11,17.7,5.9,0.0,9.6,97,lucknow
2020-01-12,18.9,5.2,0.0,8.7,100,lucknow
2020-01-13,20.9,7.6,0.0,9.0,100,lucknow
2020-01-14,20.1,10.6,1.5,7.7,99,lucknow
2020-01-15,18.5,12.4,4.3,7.2,95,lucknow
2020-01-16,15.9,13.9,47.5,17.7,96,lucknow
2020-01-17,20.2,11.9,9.6,13.5,100,lucknow
2020-01-18,19.8,10.6,0.0,11.0,100,lucknow
2020-01-19,19.6,10.1,0.1,16.0,97,lucknow
2020-01-20,19.1,8.9,0.0,10.1,95,lucknow
2020-01-21,18.9,7.7,0.0,9.0,99,lucknow
2020-01-22,19.6,7.5,0.0,10.6,97,lucknow
2020-01-23,19.5,10.0,0.0,20.9,96,lucknow
2020-01-24,19.1,8.7,0.0,21.3,91,lucknow
2020-01-25,19.5,6.6,0.0,10.5,99,lucknow
2020-01-26,20.5,7.1,0.0,11.4,98,lucknow
2020-01-27,22.2,8.1,0.0,9.5,97,lucknow
2020-01-28,20.9,12.0,2.2,16.3,95,lucknow
2020-01-29,22.0,13.3,3.6,19.3,97,lucknow
2020-01-30,20.5,11.4,0.0,16.3,97,lucknow
2020-01-31,19.6,9.2,0.0,14.4,92,lucknow
2020-02-01,19.6,7.2,0.5,15.7,94,lucknow
2020-02-02,19.5,8.4,0.0,15.2,90,lucknow
2020-02-03,20.0,6.8,0.0,10.2,94,lucknow
2020-02-04,20.6,6.4,0.0,9.3,97,lucknow
2020-02-05,21.5,8.4,0.0,17.8,92,lucknow
2020-02-06,20.7,7.7,0.0,10.4,94,lucknow
2020-02-07,21.0,8.8,0.0,10.6,92,lucknow
2020-02-08,20.4,7.6,0.0,11.2,93,lucknow
2020-02-09,21.8,7.3,0.0,10.3,96,lucknow
2020-02-10,22.0,8.1,0.0,10.7,93,lucknow
2020-02-11,21.8,7.3,0.0,10.8,92,lucknow
2020-02-12,23.5,8.1,0.0,14.6,92,lucknow
2020-02-13,25.8,13.3,0.0,18.8,85,lucknow
2020-02-14,26.2,14.9,0.0,24.0,84,lucknow
2020-02-15,24.0,11.9,0.0,15.7,86,lucknow
2020-02-16,25.1,10.4,0.0,9.4,96,lucknow
2020-02-17,26.1,12.6,0.0,16.8,98,lucknow
2020-02-18,25.8,11.6,0.0,17.2,84,lucknow
2020-02-19,26.0,9.9,0.0,11.5,90,lucknow
2020-02-20,27.5,14.8,0.0,17.2,87,lucknow
2020-02-21,22.7,16.8,5.4,28.9,82,lucknow
2020-02-22,23.9,13.9,0.6,14.5,94,lucknow
2020-02-23,24.7,16.2,1.3,10.0,95,lucknow
2020-02-24,25.1,14.4,4.1,8.9,96,lucknow
2020-02-25,23.5,14.6,2.8,13.8,98,lucknow
2020-02-26,23.0,12.9,0.5,8.0,99,lucknow
2020-02-27,24.1,12.6,0.0,9.1,100,lucknow
2020-02-28,25.4,13.5,0.0,9.5,95,lucknow
2020-02-29,26.5,15.6,0.0,11.2,93,lucknow
2020-03-01,27.6,15.8,0.0,13.0,97,lucknow
2020-03-02,27.5,16.2,0.0,10.8,97,lucknow
2020-03-03,28.5,16.1,0.0,10.9,91,lucknow
2020-03-04,27.9,15.4,0.0,9.8,88,lucknow
2020-03-05,27.4,16.2,1.0,15.3,94,lucknow
2020-03-06,23.9,16.5,20.6,25.1,95,lucknow
2020-03-07,25.7,16.0,2.5,25.5,97,lucknow
2020-03-08,25.4,13.1,0.0,16.9,100,lucknow
2020-03-09,26.4,13.4,0.0,17.8,87,lucknow
2020-03-10,26.1,12.2,0.3,11.9,87,lucknow
2020-03-11,27.4,14.9,0.1,16.5,86,lucknow
2020-03-12,29.6,18.2,0.1,13.2,85,lucknow
2020-03-13,26.1,18.2,35.4,20.2,96,lucknow
2020-03-14,23.5,15.4,3.6,19.6,98,lucknow
2020-03-15,25.1,14.1,0.2,15.8,98,lucknow
2020-03-16,25.9,14.4,0.0,10.6,94,lucknow
2020-03-17,27.7,13.6,0.0,10.2,88,lucknow
2020-03-18,29.6,15.4,0.0,18.9,82,lucknow
2020-03-19,30.4,15.4,0.0,19.3,87,lucknow
2020-03-20,31.0,16.1,0.1,10.8,87,lucknow
2020-03-21,27.8,18.4,0.0,15.5,87,lucknow
2020-03-22,31.2,16.4,0.0,17.1,94,lucknow
2020-03-23,31.2,17.0,0.0,12.3,96,lucknow
2020-03-24,32.0,17.9,0.0,9.4,91,lucknow
2020-03-25,34.2,19.6,0.0,21.9,90,lucknow
2020-03-26,34.2,21.8,0.0,23.9,70,lucknow
2020-03-27,28.0,20.6,0.8,28.3,90,lucknow
2020-03-28,31.2,18.5,0.0,20.3,96,lucknow
2020-03-29,31.6,18.6,0.0,24.7,77,lucknow
