Timestamp,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,City
2020-01-01,26.9,20.1,3.1,17.7,93,visakhapatnam
2020-01-02,26.0,20.9,5.6,20.3,96,visakhapatnam
2020-01-03,26.4,21.0,3.5,14.0,96,visakhapatnam
2020-01-04,25.9,20.8,2.3,11.2,96,visakhapatnam
2020-01-05,25.8,21.0,0.5,15.2,89,visakhapatnam
2020-01-06,26.1,21.0,0.0,20.2,89,visakhapatnam
2020-01-07,25.7,19.8,0.0,19.6,87,visakhapatnam
2020-01-08,26.1,18.9,0.0,10.6,95,visakhapatnam
2020-01-09,27.8,18.8,0.0,16.6,97,visakhapatnam
2020-01-10,27.4,20.7,0.7,21.1,92,visakhapatnam
2020-01-11,26.8,21.0,0.2,17.7,94,visakhapatnam
2020-01-12,26.4,17.5,0.0,17.0,93,visakhapatnam
2020-01-13,26.6,15.7,0.0,12.8,94,visakhapatnam
2020-01-14,27.0,17.6,0.0,13.0,97,visakhapatnam
2020-01-15,27.0,17.1,0.0,11.9,97,visakhapatnam
2020-01-16,27.2,18.5,0.0,13.2,98,visakhapatnam
2020-01-17,27.0,19.5,0.1,14.5,97,visakhapatnam
2020-01-18,28.1,20.6,0.1,16.3,98,visakhapatnam
2020-01-19,28.4,20.3,0.0,13.5,98,visakhapatnam
2020-01-20,28.5,19.5,0.6,13.4,98,visakhapatnam
2020-01-21,28.2,21.0,0.0,18.6,97,visakhapatnam
2020-01-22,28.6,21.0,0.0,16.6,97,visakhapatnam
2020-01-23,28.5,20.4,0.0,14.4,99,visakhapatnam
2020-01-24,29.3,18.7,0.0,15.1,96,visakhapatnam
2020-01-25,28.5,20.4,0.5,16.4,97,visakhapatnam
2020-01-26,29.8,20.4,0.0,22.0,95,visakhapatnam
2020-01-27,29.3,20.1,0.5,15.6,100,visakhapatnam
2020-01-28,28.2,21.1,1.4,24.3,99,visakhapatnam
2020-01-29,29.7,21.2,0.0,20.3,93,visakhapatnam
2020-01-30,29.2,21.8,0.3,17.9,96,visakhapatnam
2020-01-31,29.0,21.2,0.7,16.5,99,visakhapatnam
2020-02-01,27.0,21.9,2.9,11.0,95,visakhapatnam
2020-02-02,26.1,21.4,2.7,16.1,96,visakhapatnam
2020-02-03,26.2,21.3,2.1,16.3,96,visakhapatnam
2020-02-04,24.4,21.5,24.2,13.2,96,visakhapatnam
2020-02-05,27.4,21.4,2.9,12.8,98,visakhapatnam
2020-02-06,28.1,20.9,1.0,14.2,97,visakhapatnam
2020-02-07,28.1,21.8,2.5,18.9,97,visakhapatnam
2020-02-08,27.9,21.5,1.5,17.1,97,visakhapatnam
2020-02-09,26.5,19.9,1.0,19.1,93,visakhapatnam
2020-02-10,26.6,20.2,0.0,21.0,86,visakhapatnam
2020-02-11,26.6,21.0,1.1,16.5,89,visakhapatnam
2020-02-12,28.1,20.7,0.0,15.8,91,visakhapatnam
